customer_id,first_order_date,second_order_date,days_to_second_order
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,0
12408,2011-03-24 14:46:00,2011-03-24 14:47:00,0
12410,2011-02-04 10:38:00,2011-02-04 10:39:00,0
12424,2011-06-30 12:06:00,2011-06-30 12:06:00,0
12428,2011-03-01 09:33:00,2011-03-01 09:35:00,0
12432,2011-06-20 13:27:00,2011-06-20 13:29:00,0
12452,2011-11-23 08:05:00,2011-11-23 10:28:00,0
12457,2011-04-14 18:57:00,2011-04-15 13:48:00,0
12471,2010-12-10 09:35:00,2010-12-10 09:48:00,0
12474,2011-01-14 10:06:00,2011-01-14 14:45:00,0
12512,2011-10-04 14:53:00,2011-10-04 14:55:00,0
12552,2011-10-31 12:11:00,2011-11-01 10:02:00,0
12590,2011-05-12 14:46:00,2011-05-12 14:52:00,0
12613,2011-03-22 15:42:00,2011-03-22 15:46:00,0
12637,2011-01-20 10:47:00,2011-01-20 10:48:00,0
12647,2010-12-05 14:02:00,2010-12-05 14:03:00,0
12678,2010-12-21 11:00:00,2010-12-21 14:26:00,0
12683,2010-12-09 10:37:00,2010-12-09 12:17:00,0
12723,2011-10-05 15:52:00,2011-10-05 15:56:00,0
12743,2011-07-28 16:06:00,2011-07-28 16:21:00,0
12748,2010-12-01 12:48:00,2010-12-02 11:46:00,0
12754,2011-02-04 10:31:00,2011-02-04 10:32:00,0
12757,2011-05-12 19:01:00,2011-05-12 19:02:00,0
12836,2011-02-01 11:19:00,2011-02-01 11:20:00,0
12906,2011-09-22 15:03:00,2011-09-22 15:03:00,0
12909,2011-03-31 12:51:00,2011-03-31 13:13:00,0
12931,2010-12-17 09:45:00,2010-12-17 18:07:00,0
12970,2011-01-21 14:04:00,2011-01-21 14:21:00,0
13013,2010-12-03 12:28:00,2010-12-03 12:29:00,0
13015,2011-04-04 14:28:00,2011-04-04 14:42:00,0
13047,2010-12-01 08:34:00,2010-12-01 08:34:00,0
13069,2010-12-05 11:02:00,2010-12-05 11:03:00,0
13081,2010-12-03 17:20:00,2010-12-03 17:21:00,0
13126,2010-12-08 11:42:00,2010-12-08 11:43:00,0
13141,2011-01-28 13:04:00,2011-01-28 14:42:00,0
13212,2011-10-09 14:48:00,2011-10-09 15:17:00,0
13213,2011-05-24 12:22:00,2011-05-24 15:33:00,0
13242,2011-05-10 12:26:00,2011-05-10 12:28:00,0
13317,2010-12-16 09:22:00,2010-12-16 09:23:00,0
13319,2010-12-09 10:04:00,2010-12-09 10:05:00,0
13320,2011-05-10 10:29:00,2011-05-10 10:30:00,0
13327,2010-12-09 15:32:00,2010-12-09 15:33:00,0
